,id,gene_i,gene_j,type,coef.est,pval
589,589,633,NA,main,61.2846500184926,0.0889967225956512
1228,1228,173,386,interaction,16.4829614493998,0.0892335826056793
1029,1029,118,130,interaction,-35.8015317050849,0.0892554761839269
1505,1505,302,489,interaction,71.5048577673233,0.0895923347284874
776,776,43,530,interaction,-105.801483165328,0.0896644846897358
1208,1208,166,633,interaction,-21.8295317424159,0.0897792312527186
873,873,69,121,interaction,-60.2152957314091,0.0898089105430022
1132,1132,142,511,interaction,39.6884533457578,0.08983892094737
1662,1662,397,635,interaction,-23.2148161590909,0.0899639170450494
458,458,495,NA,main,7.41906235541429,0.0900099115348854
1666,1666,400,440,interaction,18.9038005983156,0.0900275194085255
1496,1496,297,593,interaction,-29.4627514568584,0.090210364850739
92,92,98,NA,main,17.3725867258916,0.0903855440015904
1096,1096,134,447,interaction,-44.7795298630115,0.0903970271368742
874,874,69,338,interaction,66.947238094965,0.0904284438739736
22,22,22,NA,main,54.1591973999914,0.0905060455608499
609,609,655,NA,main,-25.6312678614355,0.0905807186390004
950,950,92,419,interaction,-60.3981956451082,0.090830769837758
1521,1521,307,551,interaction,-109.511806978426,0.0908430701683958
806,806,48,433,interaction,-64.7392913800254,0.0910096474117541
1432,1432,260,325,interaction,32.0579947401956,0.0910423724028686
738,738,33,554,interaction,-297.553645211865,0.0911324330254834
1585,1585,348,486,interaction,45.1455963514398,0.0912474899957461
1348,1348,219,661,interaction,114.83724065835,0.0912622573267192
585,585,629,NA,main,-26.8833220587116,0.0913117215206127
185,185,195,NA,main,-13.5117943556937,0.0914630115115379
480,480,518,NA,main,-28.7696547760804,0.0917807586808789
834,834,54,319,interaction,28.8744832959214,0.0918003462743809
1362,1362,225,652,interaction,-123.304498498779,0.0918022309407383
1072,1072,129,286,interaction,34.2486586976441,0.0919386926621685
254,254,272,NA,main,4.11369212159761,0.0919743483681651
1271,1271,192,561,interaction,-61.2351193999281,0.0921297779157276
1290,1290,199,591,interaction,90.4635701239055,0.0922859513127747
799,799,48,113,interaction,35.1609173321339,0.0922946843358545
700,700,23,188,interaction,-16.5059904503056,0.0923733014984384
1060,1060,127,135,interaction,-30.0835580483081,0.0924122778683634
1612,1612,359,619,interaction,31.0976241471765,0.0924432326300802
1082,1082,129,653,interaction,-41.1170396118148,0.0925711972881061
928,928,85,139,interaction,31.4965581730289,0.0928719029759931
1217,1217,170,540,interaction,28.297179177338,0.0928917925870836
1598,1598,354,547,interaction,41.9936316989057,0.093078417908738
887,887,72,85,interaction,-16.2327742230707,0.0932308411725997
340,340,366,NA,main,-58.2008812949317,0.093238706604411
753,753,36,398,interaction,151.962833380518,0.0932713974160753
880,880,70,329,interaction,-160.483267070811,0.0934311375976366
875,875,69,505,interaction,13.415469714588,0.0934503597505151
146,146,155,NA,main,-13.2944226675573,0.0935632284704305
773,773,42,565,interaction,-26.4762785225827,0.0935770297310137
139,139,148,NA,main,-26.4489858105009,0.0935797412579523
1548,1548,326,552,interaction,74.7658522665411,0.0936127381066728
737,737,33,540,interaction,105.151473554297,0.0936131257756362
508,508,547,NA,main,-5.67681173634227,0.0936407029541643
839,839,56,651,interaction,85.4761053440084,0.0940561843050165
376,376,406,NA,main,14.0778464896703,0.094202560985953
180,180,190,NA,main,9.11843918654094,0.0942177918168302
334,334,360,NA,main,25.1870522544595,0.0943714410695844
389,389,420,NA,main,14.6771124804702,0.0944415361446371
1373,1373,235,629,interaction,-37.871027337579,0.0945087258815373
315,315,340,NA,main,-7.59257862459459,0.0945892550319345
1123,1123,138,606,interaction,-24.6240860643232,0.0946140024233639
441,441,477,NA,main,14.7876831555496,0.0946760716527609
1415,1415,251,620,interaction,14.9878938900346,0.0947388377041546
935,935,86,215,interaction,36.7595617004542,0.0948461565737465
1252,1252,182,311,interaction,-47.4345280157272,0.0950158517524568
837,837,56,129,interaction,47.4451309700701,0.0951144913972567
594,594,639,NA,main,-11.8974783562667,0.095123767842879
1566,1566,336,603,interaction,96.2191053100844,0.0954172999094845
26,26,26,NA,main,-12.8580001664336,0.0955180565222146
1059,1059,126,392,interaction,-98.4466227720881,0.0956076189333054
1360,1360,224,367,interaction,233.674199332604,0.0956220178713894
842,842,57,129,interaction,-65.2133369650731,0.0956254700195657
556,556,600,NA,main,33.8403955836111,0.0957694430060318
1187,1187,160,255,interaction,-207.501430250034,0.0960431484464544
1003,1003,110,289,interaction,51.1864463363291,0.096171239171821
1134,1134,143,410,interaction,73.2326924763294,0.0962155169545767
1372,1372,235,628,interaction,-12.7532352389487,0.0963109833373082
1062,1062,127,419,interaction,493.332751265714,0.0965224410813053
33,33,33,NA,main,110.472638243274,0.0966953018068642
444,444,480,NA,main,-21.5918665823164,0.0967478402983284
497,497,536,NA,main,30.1922998486061,0.0967591126970808
1624,1624,365,538,interaction,65.7558797777135,0.0968446790842851
1486,1486,291,348,interaction,14.0909642346656,0.0968937986767038
548,548,591,NA,main,-25.4820743203731,0.0968938803517981
324,324,350,NA,main,20.4338801667576,0.0970436906576014
173,173,182,NA,main,18.8703174648119,0.0970616793565645
309,309,334,NA,main,94.0367513242687,0.0970808724523961
1262,1262,187,350,interaction,-134.853020055181,0.0970919667678246
217,217,232,NA,main,-6.3853940653594,0.0971137069735774
1150,1150,147,463,interaction,-24.1517271248278,0.0971344896703857
1223,1223,172,571,interaction,30.5456134414199,0.0971536185297221
650,650,9,536,interaction,-44.9868192873312,0.0971602173272141
587,587,631,NA,main,-4.82377253831804,0.0971847409454169
1627,1627,370,390,interaction,136.663765213607,0.0971871020066361
76,76,81,NA,main,39.7352363262283,0.0972121860936374
1404,1404,247,509,interaction,5.55093296641001,0.0972847189958914
301,301,326,NA,main,-59.2740206908127,0.0974352726667449
364,364,393,NA,main,13.3498618658366,0.097645361781304
610,610,656,NA,main,-33.1971051966909,0.0977146326211854
346,346,372,NA,main,38.2961366863484,0.0977254037203892
892,892,72,467,interaction,39.4757508787988,0.0979577395916983
174,174,183,NA,main,17.718602030766,0.097999579675621
653,653,9,643,interaction,40.9076769482678,0.0980519061570768
366,366,396,NA,main,-28.8608068113691,0.0980524981520983
1326,1326,212,518,interaction,38.4297133531347,0.0981581103752451
1015,1015,113,532,interaction,-1.81353198749107,0.0982449908778668
1658,1658,396,659,interaction,11.6599453202185,0.0982589634962411
148,148,157,NA,main,-12.6262951076457,0.0984168765821488
1391,1391,239,592,interaction,-7.26065326591138,0.0985527378715992
774,774,43,143,interaction,-56.097932900149,0.0986178661301232
972,972,100,290,interaction,24.506861879614,0.0987094249806698
715,715,27,158,interaction,-19.8580347374216,0.0987683113075937
333,333,359,NA,main,12.2968393603543,0.0989267406594291
4,4,4,NA,main,2.27655301200761,0.098983703576557
854,854,59,498,interaction,-73.7049044818225,0.0989929346814852
209,209,222,NA,main,22.2114039558603,0.0992784167545265
824,824,50,503,interaction,23.8680359520761,0.0992786328834851
1244,1244,180,270,interaction,25.4751500543765,0.0995164394541993
469,469,507,NA,main,17.37831992763,0.0996787357801837
876,876,69,662,interaction,18.5689168814329,0.0998770173210783
1050,1050,120,592,interaction,28.4288962114841,0.0999273142468633
1451,1451,270,483,interaction,7.31287478371315,0.100023500123975
522,522,563,NA,main,-9.36394181185029,0.100099901193344
1237,1237,176,198,interaction,34.1751586554561,0.100295602318558
990,990,104,141,interaction,68.5596572284093,0.100380691838196
564,564,608,NA,main,19.6054002707533,0.100424120608834
467,467,504,NA,main,-43.1050915050203,0.100453484890158
1076,1076,129,498,interaction,-17.9140482841494,0.100499915926364
447,447,483,NA,main,17.3154402801842,0.100538363769297
1055,1055,124,208,interaction,-50.2467814617877,0.100835399496334
847,847,58,257,interaction,-48.869186317648,0.100885717891155
1491,1491,294,370,interaction,-44.1568485536811,0.100927736740623
1413,1413,251,485,interaction,57.7838099434562,0.100947982433445
1601,1601,354,650,interaction,61.713129253389,0.100990001097418
660,660,12,149,interaction,17.1080278353231,0.101017354161192
815,815,49,301,interaction,153.989812369336,0.101045812985928
619,619,1,371,interaction,-36.2557085706755,0.101047943425851
761,761,39,106,interaction,-37.4898743101986,0.101185445439046
1618,1618,362,486,interaction,6.16218404289601,0.10133637648967
816,816,49,315,interaction,-31.1943902169374,0.101354762634237
1153,1153,147,631,interaction,-13.2420080380105,0.101408684178554
612,612,658,NA,main,4.92689225722309,0.101566984672221
542,542,584,NA,main,11.2230191808715,0.101658751624035
573,573,617,NA,main,-87.6619837669607,0.101724433740841
1304,1304,207,246,interaction,139.713638596516,0.101736545464268
80,80,85,NA,main,4.20750370837897,0.101857044158616
149,149,158,NA,main,-2.31601795372663,0.101863284738684
1248,1248,181,425,interaction,21.5307778269298,0.101952335909737
838,838,56,549,interaction,-63.3875195338991,0.102034492337972
739,739,33,617,interaction,544.090744897109,0.102075438667348
1157,1157,148,451,interaction,-55.3740703893959,0.102092106620366
1581,1581,346,483,interaction,-35.1641203217747,0.10226974353205
1081,1081,129,637,interaction,-17.2492212912969,0.102283965014766
1325,1325,212,443,interaction,19.1177143635542,0.1023441096144
778,778,44,188,interaction,-58.9496174570063,0.102388640375494
1621,1621,363,641,interaction,-23.5661579861911,0.10245155684825
1417,1417,253,316,interaction,-44.8620412674496,0.102542618750224
1168,1168,151,377,interaction,-36.5626334282908,0.102573739824533
903,903,75,479,interaction,-23.5247801860551,0.102594486483098
1385,1385,239,250,interaction,-66.290818876953,0.102698543454998
898,898,74,426,interaction,244.462020534216,0.102795614791271
840,840,56,658,interaction,20.4875856984071,0.102799005144006
318,318,343,NA,main,-2.88884474369204,0.103101678927822
1074,1074,129,454,interaction,-18.9515420619247,0.103102196268287
65,65,69,NA,main,-6.87822574530991,0.103145324960109
518,518,559,NA,main,-76.3663669743882,0.103261614619148
1144,1144,146,240,interaction,-45.4627324842615,0.103322229162878
1513,1513,304,466,interaction,15.0273909254643,0.10332367602176
171,171,180,NA,main,-9.56781891930752,0.103327778850583
1320,1320,211,232,interaction,8.20325849458244,0.103387405165487
98,98,104,NA,main,15.7114444190252,0.10340223295659
124,124,133,NA,main,-22.9625127211353,0.10352910070961
592,592,637,NA,main,18.6475686409625,0.103536463784905
1381,1381,238,256,interaction,-8.26744859902388,0.103543462167022
926,926,84,422,interaction,-40.5980777841799,0.103705598165134
323,323,349,NA,main,7.42274235722502,0.10371454790443
805,805,48,366,interaction,93.869623429932,0.103736137949573
749,749,35,541,interaction,-40.8270531929011,0.103739442140585
859,859,62,104,interaction,-50.0181056025907,0.10383676859332
1647,1647,387,480,interaction,-87.4996872006771,0.103860950203398
357,357,385,NA,main,20.1898769960859,0.103944569579234
87,87,92,NA,main,28.5629635345043,0.10395250891358
11,11,11,NA,main,-64.5113648752146,0.103958613947031
641,641,6,200,interaction,-49.7981748650233,0.104224081460919
953,953,93,151,interaction,-30.570511687036,0.104295598648479
750,750,35,657,interaction,17.0528659671523,0.104363018964999
1276,1276,194,602,interaction,-26.0018987467983,0.104640960310643
1227,1227,173,354,interaction,-165.903151808807,0.104706169806098
129,129,138,NA,main,32.8117690348594,0.104800162244931
989,989,104,138,interaction,68.9682899305476,0.1048681302804
909,909,76,370,interaction,36.3138961246102,0.104886363537489
266,266,288,NA,main,-37.996459617996,0.104908340019224
656,656,11,78,interaction,221.03729909954,0.105111221622972
1477,1477,287,413,interaction,89.6167839908745,0.105182662662887
1561,1561,334,620,interaction,-58.8189611019814,0.10522381828536
999,999,107,253,interaction,6.78689365292974,0.105347684450873
1379,1379,237,402,interaction,61.7127597910648,0.105354117630478
1476,1476,287,389,interaction,-39.7121425782932,0.105451952486083
361,361,389,NA,main,-14.5817279885736,0.105505005897482
105,105,112,NA,main,79.3156301652761,0.105522506513048
525,525,566,NA,main,-31.0659005276753,0.105578333734066
1047,1047,120,384,interaction,69.1028075359731,0.105617993150055
195,195,206,NA,main,28.7391113653703,0.105723830340431
1456,1456,274,641,interaction,94.9696086755267,0.105726520482998
136,136,145,NA,main,13.9951880020888,0.105756438104329
220,220,236,NA,main,9.32958003839077,0.105774054942524
1124,1124,139,492,interaction,137.971323047906,0.106092172915602
1537,1537,322,594,interaction,-77.5635135863037,0.106336278990892
623,623,2,101,interaction,-90.8580695473355,0.106404232180993
1133,1133,143,255,interaction,-24.8464509447274,0.106408257459465
211,211,224,NA,main,18.0271414052751,0.106421722103268
455,455,492,NA,main,-12.4886647940689,0.106471587685823
721,721,28,440,interaction,-54.1548631872435,0.106486397903214
1536,1536,322,416,interaction,-9.99416195621243,0.106619505926392
1052,1052,121,320,interaction,35.8252195956848,0.106637892671673
386,386,417,NA,main,16.4127825901968,0.106640000493657
929,929,85,295,interaction,30.5156201301649,0.106749800930755
433,433,469,NA,main,27.6358644600056,0.106786612147675
1090,1090,132,416,interaction,106.609298134876,0.106835828382845
1054,1054,123,620,interaction,16.6290179583958,0.106997008439793
759,759,38,496,interaction,9.96556536519894,0.107174581456758
420,420,454,NA,main,-20.2499902862209,0.107258467889812
1032,1032,118,186,interaction,15.1113490988387,0.107307996949142
311,311,336,NA,main,-6.97566243443683,0.107351866175911
147,147,156,NA,main,-19.1022962966847,0.107392309119368
1420,1420,253,513,interaction,-11.1561784670335,0.107395543592558
27,27,27,NA,main,8.21995009839157,0.107503104552519
1342,1342,219,298,interaction,17.4829706445457,0.107533762050429
517,517,558,NA,main,23.5570980675695,0.107713973242421
702,702,24,537,interaction,-57.9426873705323,0.108179392105691
1514,1514,304,489,interaction,-36.0967584269424,0.108203476963224
516,516,556,NA,main,19.9420859664614,0.10824707705493
535,535,576,NA,main,-5.85078407952905,0.108273881023753
232,232,248,NA,main,50.0202060394655,0.108369038918063
1327,1327,212,520,interaction,25.9214031010704,0.108445834137257
803,803,48,315,interaction,58.1000330326325,0.108477013595045
438,438,474,NA,main,16.8379499989593,0.108486541411873
277,277,299,NA,main,-28.353412770935,0.108523282326415
1159,1159,148,542,interaction,42.2951304645918,0.108553833239694
28,28,28,NA,main,33.7067221334902,0.108622952026249
1155,1155,148,211,interaction,19.239030168004,0.108681223812349
151,151,160,NA,main,74.5284821683946,0.108729676102934
1209,1209,166,654,interaction,-76.786965312206,0.108882066611379
170,170,179,NA,main,58.7641607529228,0.108964094695632
1418,1418,253,357,interaction,-56.4847785042735,0.108973218961063
35,35,35,NA,main,-5.11158096683177,0.109002664040666
1388,1388,239,325,interaction,-37.2611432430518,0.109009517744432
664,664,12,534,interaction,21.8182223260496,0.109071858507412
930,930,85,347,interaction,-22.8506104775225,0.109084358159675
798,798,48,75,interaction,27.3845331411117,0.109318335609494
621,621,1,519,interaction,-27.1208785514079,0.109344356312663
889,889,72,157,interaction,7.26869560544975,0.109349830494966
